342623200004025074	P1	10
342623200004025075	P1	8
242623200004025002	P1	2
242623200004025003	P1	5
242623200004025004	P1	6
242623200004025024	P1	4
242623200004025040	P1	2
242623200004025042	P1	7
242623200004025043	P1	4
242623200004025046	P1	2
242623200004025047	P1	4
242623200004025049	P1	1
342623200004025075	P2	2
342623200004025074	P2	10
242623200004025002	P2	2
242623200004025003	P2	1
242623200004025004	P2	1
242623200004025023	P2 	2
242623200004025044	P2	4
242623200004025045	P2	1
242623200004025048	P2	3
242623200004025049	P2	1
342623200004025075	P3	10
242623200004025002	P3	3
242623200004025003	P3	1
242623200004025005	P3	1
242623200004025022	P3	2
342623200004025075	P4	10
242623200004025006	P4	5
242623200004025020	P4	2
242623200004025025	P4	1
242623200004025026	P4	2
342623200004025075	P5	2
342623200004025076	P5	10
242623200004025007	P5	8
242623200004025019	P5	4
242623200004025027	P5	2
342623200004025076	P6	10
242623200004025008	P6	2
242623200004025018	P6	2
342623200004025075	P6	1
342623200004025075	P7	1
342623200004025077	P7	10
242623200004025009	P7	3
242623200004025017	P7	3
242623200004025028	P7	4
242623200004025029	P7	4
242623200004025037	P7	2
242623200004025038	P7	2
242623200004025039	P7	1
242623200004025050	P7	2
342623200004025075	P8	1
342623200004025077	P8	10
242623200004025010	P8	4
242623200004025016	P8	1
242623200004025030	P8	4
342623200004025078	P9	10
242623200004025012	P9	2
242623200004025015	P9	3
242623200004025036	P9	2
342623200004025075	P9	1
342623200004025075	P10	1
342623200004025078	P10	10
242623200004025013	P10	5
242623200004025014	P10	6
242623200004025032	P10	5
242623200004025033	P10	5
242623200004025034	P10	5
