张红	342623200004025074	北京	20000	-1	1
张二红	242623200004025002	北京	15000	342623200004025074	1
张三红	242623200004025003	北京	15000	342623200004025074	1
张四红	242623200004025004	北京	12000	342623200004025074	1
张五红	242623200004025005	上海	12000	342623200004025074	1
张六红	242623200004025006	上海	10000	342623200004025074	1
张七红	242623200004025007	上海	8000	342623200004025074	1
张八红	242623200004025008	深圳	8000	342623200004025074	1
张九红	242623200004025009	深圳	2000	342623200004025074	1
张十红	242623200004025010	杭州	2000	342623200004025074	1
李绿	342623200004025075	北京	3000	-1	2
李二绿	242623200004025012	北京	3000	342623200004025075	2
李三绿	242623200004025013	北京	3000	342623200004025075	2
李四绿	242623200004025014	杭州	3000	342623200004025075	2
李五绿	242623200004025015	杭州	3000	342623200004025075	2
李六绿	242623200004025016	杭州	2900	342623200004025075	2
李七绿	242623200004025017	南京	2800	342623200004025075	2
李八绿	242623200004025018	南京	2700	342623200004025075	2
李九绿	242623200004025019	西安	1500	342623200004025075	2
李十绿	242623200004025020	西安	1000	342623200004025075	2
赵兰	342623200004025076	上海	20000	-1	3
赵二兰	242623200004025022	北京	15000	342623200004025076	3
赵三兰	242623200004025023	上海	13000	342623200004025076	3
赵四兰	242623200004025024	上海	10000	342623200004025076	3
赵五兰	242623200004025025	上海	8000	342623200004025076	3
赵六兰	242623200004025026	哈尔滨	8000	342623200004025076	3
赵七兰	242623200004025027	哈尔滨	7000	342623200004025076	3
赵八兰	242623200004025028	苏州	7000	342623200004025076	3
赵九兰	242623200004025029	西安	2500	342623200004025076	3
赵十兰	242623200004025030	杭州	2000	342623200004025076	3
钱紫	342623200004025077	深圳	20000	-1	4
钱二紫	242623200004025032	深圳	11000	342623200004025077	4
钱三紫	242623200004025033	北京	10000	342623200004025077	4
钱四紫	242623200004025034	北京	9000	342623200004025077	4
钱五紫	242623200004025035	广州	8000	342623200004025077	4
钱六紫	242623200004025036	广州	7000	342623200004025077	4
钱七紫	242623200004025037	广州	6000	342623200004025077	4
钱八紫	242623200004025038	厦门	5000	342623200004025077	4
钱九紫	242623200004025039	天津	2900	342623200004025077	4
钱十紫	242623200004025040	上海	2000	342623200004025077	4
周天	342623200004025078	哈尔滨	20000	-1	5
周二天	242623200004025042	哈尔滨	14000	342623200004025078	5
周三天	242623200004025043	哈尔滨	13000	342623200004025078	5
周四天	242623200004025044	北京	8000	342623200004025078	5
周五天	242623200004025045	北京	6000	342623200004025078	5
周六天	242623200004025046	青海	6000	342623200004025078	5
周七天	242623200004025047	重庆	6000	342623200004025078	5
周八天	242623200004025048	成都	4000	342623200004025078	5
周九天	242623200004025049	成都	2850	342623200004025078	5
周十天	242623200004025050	广州	2800	342623200004025078	5
